UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LOCALIDAD;CONSUMO_KW;POTENCIA_CONTRATADA;MONTO_SOLES
150804;LIMA;HUAURA;CHECRAS;TONGOS;11;1;8.5
150804;LIMA;HUAURA;CHECRAS;TONGOS;0;1;6.2
150804;LIMA;HUAURA;CHECRAS;TONGOS;34;1;96.3
150808;LIMA;HUAURA;PACCHO;COLCAPAMPA;48;1;37.1
150808;LIMA;HUAURA;PACCHO;COLCAPAMPA;16;1;9.5
150808;LIMA;HUAURA;PACCHO;COLCAPAMPA;15;1;9.1
150808;LIMA;HUAURA;PACCHO;ULANCAY;3;1;7.4
150808;LIMA;HUAURA;PACCHO;PACCHO;36;1;26.2
150808;LIMA;HUAURA;PACCHO;PACCHO;16;1;9.2
150808;LIMA;HUAURA;PACCHO;PACCHO;37;1;26.8
150808;LIMA;HUAURA;PACCHO;SAN ANDRES DE HUACAR (SAN JUAN DE HUACAR);1;1;6.4
150808;LIMA;HUAURA;PACCHO;SAN ANDRES DE HUACAR (SAN JUAN DE HUACAR);18;1;10.9
150808;LIMA;HUAURA;PACCHO;SAN ANDRES DE HUACAR (SAN JUAN DE HUACAR);0;1;12.4
150808;LIMA;HUAURA;PACCHO;PUCTOR;0;1;6.2
150808;LIMA;HUAURA;PACCHO;PACCHO;18;1;9.8
150808;LIMA;HUAURA;PACCHO;LA PERLA;101;1;94.7
150808;LIMA;HUAURA;PACCHO;LA PERLA;49;1;55.6
150808;LIMA;HUAURA;PACCHO;LA PERLA;52;1;57.6
150808;LIMA;HUAURA;PACCHO;LA PERLA;5;1;7
150808;LIMA;HUAURA;PACCHO;MUZGA;19;1;9.8
